date,day-stars,total-stars
30-11-2015,60,27989
01-12-2015,61,28050
02-12-2015,63,28113
03-12-2015,53,28166
04-12-2015,51,28217
05-12-2015,46,28263
06-12-2015,42,28305
07-12-2015,43,28348
08-12-2015,49,28397
09-12-2015,63,28460
10-12-2015,56,28516
11-12-2015,52,28568
12-12-2015,33,28601
13-12-2015,31,28632
14-12-2015,52,28684
15-12-2015,63,28747
16-12-2015,55,28802
17-12-2015,66,28868
18-12-2015,59,28927
19-12-2015,30,28957
20-12-2015,31,28988
21-12-2015,64,29052
22-12-2015,43,29095
23-12-2015,48,29143
24-12-2015,41,29184
25-12-2015,39,29223
26-12-2015,33,29256
27-12-2015,26,29282
28-12-2015,53,29335
29-12-2015,68,29403
30-12-2015,44,29447
31-12-2015,47,29494
01-01-2016,22,29516
02-01-2016,35,29551
03-01-2016,41,29592
04-01-2016,56,29648
05-01-2016,66,29714
06-01-2016,75,29789
07-01-2016,71,29860
08-01-2016,66,29926
09-01-2016,39,29965
10-01-2016,34,29999
11-01-2016,58,30057
12-01-2016,77,30134
13-01-2016,56,30190
14-01-2016,71,30261
15-01-2016,54,30315
16-01-2016,34,30349
17-01-2016,49,30398
18-01-2016,53,30451
19-01-2016,68,30519
20-01-2016,52,30571
21-01-2016,61,30632
22-01-2016,71,30703
23-01-2016,34,30737
24-01-2016,34,30771
25-01-2016,48,30819
26-01-2016,47,30866
27-01-2016,48,30914
28-01-2016,64,30978
29-01-2016,54,31032
30-01-2016,22,31054
31-01-2016,34,31088
01-02-2016,45,31133
02-02-2016,53,31186
03-02-2016,42,31228
04-02-2016,52,31280
05-02-2016,46,31326
06-02-2016,25,31351
07-02-2016,30,31381
08-02-2016,23,31404
09-02-2016,34,31438
10-02-2016,38,31476
11-02-2016,37,31513
12-02-2016,31,31544
13-02-2016,20,31564
14-02-2016,31,31595
15-02-2016,45,31640
16-02-2016,62,31702
17-02-2016,64,31766
18-02-2016,56,31822
19-02-2016,59,31881
20-02-2016,38,31919
21-02-2016,35,31954
22-02-2016,63,32017
23-02-2016,73,32090
24-02-2016,69,32159
25-02-2016,65,32224
26-02-2016,69,32293
27-02-2016,43,32336
28-02-2016,49,32385
29-02-2016,73,32458
01-03-2016,65,32523
02-03-2016,73,32596
03-03-2016,53,32649
04-03-2016,59,32708
05-03-2016,46,32754
06-03-2016,36,32790
07-03-2016,66,32856
08-03-2016,63,32919
09-03-2016,63,32982
10-03-2016,56,33038
11-03-2016,43,33081
12-03-2016,50,33131
13-03-2016,59,33190
14-03-2016,71,33261
15-03-2016,78,33339
16-03-2016,54,33393
17-03-2016,72,33465
18-03-2016,92,33557
19-03-2016,44,33601
20-03-2016,42,33643
21-03-2016,135,33778
22-03-2016,102,33880
23-03-2016,79,33959
24-03-2016,64,34023
25-03-2016,54,34077
26-03-2016,36,34113
27-03-2016,34,34147
28-03-2016,48,34195
29-03-2016,79,34274
30-03-2016,67,34341
31-03-2016,51,34392
01-04-2016,52,34444
02-04-2016,37,34481
03-04-2016,28,34509
04-04-2016,42,34551
05-04-2016,39,34590
06-04-2016,50,34640
07-04-2016,101,34741
08-04-2016,129,34870
09-04-2016,45,34915
10-04-2016,50,34965
11-04-2016,93,35058
12-04-2016,68,35126
13-04-2016,69,35195
14-04-2016,87,35282
15-04-2016,63,35345
16-04-2016,36,35381
17-04-2016,34,35415
18-04-2016,43,35458
19-04-2016,88,35546
20-04-2016,73,35619
21-04-2016,57,35676
22-04-2016,54,35730
23-04-2016,44,35774
24-04-2016,46,35820
25-04-2016,58,35878
26-04-2016,64,35942
27-04-2016,73,36015
28-04-2016,52,36067
29-04-2016,64,36131
30-04-2016,31,36162
01-05-2016,35,36197
02-05-2016,33,36230
03-05-2016,62,36292
04-05-2016,51,36343
05-05-2016,55,36398
06-05-2016,52,36450
07-05-2016,32,36482
08-05-2016,30,36512
09-05-2016,46,36558
10-05-2016,42,36600
11-05-2016,59,36659
12-05-2016,46,36705
13-05-2016,43,36748
14-05-2016,38,36786
15-05-2016,31,36817
16-05-2016,41,36858
17-05-2016,48,36906
18-05-2016,48,36954
19-05-2016,57,37011
20-05-2016,50,37061
21-05-2016,37,37098
22-05-2016,34,37132
23-05-2016,48,37180
24-05-2016,60,37240
25-05-2016,55,37295
26-05-2016,50,37345
27-05-2016,65,37410
28-05-2016,32,37442
29-05-2016,26,37468
30-05-2016,63,37531
31-05-2016,60,37591
01-06-2016,57,37648
02-06-2016,57,37705
03-06-2016,43,37748
04-06-2016,32,37780
05-06-2016,30,37810
06-06-2016,46,37856
07-06-2016,48,37904
08-06-2016,53,37957
09-06-2016,30,37987
10-06-2016,38,38025
11-06-2016,33,38058
12-06-2016,34,38092
13-06-2016,48,38140
14-06-2016,59,38199
15-06-2016,79,38278
16-06-2016,73,38351
17-06-2016,71,38422
18-06-2016,21,38443
19-06-2016,34,38477
20-06-2016,53,38530
21-06-2016,63,38593
22-06-2016,65,38658
23-06-2016,60,38718
24-06-2016,44,38762
25-06-2016,29,38791
26-06-2016,27,38818
27-06-2016,46,38864
28-06-2016,60,38924
29-06-2016,50,38974
30-06-2016,54,39028
01-07-2016,55,39083
02-07-2016,33,39116
03-07-2016,43,39159
04-07-2016,52,39211
05-07-2016,65,39276
06-07-2016,75,39351
07-07-2016,69,39420
08-07-2016,49,39469
09-07-2016,40,39509
10-07-2016,37,39546
11-07-2016,64,39610
12-07-2016,66,39676
13-07-2016,58,39734
14-07-2016,70,39804
15-07-2016,52,39856
16-07-2016,32,39888
17-07-2016,39,39927
18-07-2016,69,39996
19-07-2016,71,40067
20-07-2016,77,40144
21-07-2016,68,40212
22-07-2016,69,40281
23-07-2016,61,40342
24-07-2016,49,40391
25-07-2016,74,40465
26-07-2016,73,40538
27-07-2016,55,40593
