metric,framework,model,date,mean,lo80,hi80,lo95,hi95,validation_rmse,is_best
github-stars,Vue,ETS,2025-11-01,264.4017137821893,54.429710735994654,1269.7637969465793,23.192852047887914,2910.524012923168,132.83171586425595,TRUE
github-stars,Vue,ETS,2025-12-01,264.4017137821893,40.233028743345265,1707.292401146771,14.38747259435784,4576.624378960769,132.83171586425595,TRUE
github-stars,Vue,ETS,2026-01-01,264.4017137821893,30.9547544355316,2203.3063989313787,9.419606965135106,6759.146511688482,132.83171586425595,TRUE
github-stars,Vue,ETS,2026-02-01,264.4017137821893,24.456226077776044,2766.0271886851847,6.359347291843477,9570.238709795789,132.83171586425595,TRUE
github-stars,Vue,ETS,2026-03-01,264.4017137821893,19.692679541600715,3403.009110415785,4.360816135416144,13138.430247043016,132.83171586425595,TRUE
github-stars,Vue,ETS,2026-04-01,264.4017137821893,16.085044111518613,4121.791209595666,2.999323477953854,17611.49623012762,132.83171586425595,TRUE
github-stars,Vue,ETS,2026-05-01,264.4017137821893,13.284287077207837,4930.157522794043,2.041351707340985,23159.119728509235,132.83171586425595,TRUE
github-stars,Vue,ETS,2026-06-01,264.4017137821893,11.06695982481912,5836.267273704464,1.3497630439375377,29975.66929023144,132.83171586425595,TRUE
github-stars,Vue,ETS,2026-07-01,264.4017137821893,9.283329747047613,6848.733637953818,0.8398731801731196,38283.19830104558,132.83171586425595,TRUE
github-stars,Vue,ETS,2026-08-01,264.4017137821893,7.829392908191685,7976.679825888422,0.4572674405196197,48334.71911371807,132.83171586425595,TRUE
github-stars,Vue,ETS,2026-09-01,264.4017137821893,6.630778244250578,9229.784518157743,0.16583054261877503,60417.789098027846,132.83171586425595,TRUE
github-stars,Vue,ETS,2026-10-01,264.4017137821893,5.6330099155557685,10618.322234590883,0,74858.44122712908,132.83171586425595,TRUE
github-stars,Vue,ETS,2026-11-01,264.4017137821893,4.795367963740292,12153.20144488338,0,92025.49123265214,132.83171586425595,TRUE
github-stars,Vue,ETS,2026-12-01,264.4017137821893,4.086882344827434,13846.001936293596,0,112335.25438739079,132.83171586425595,TRUE
github-stars,Vue,ETS,2027-01-01,264.4017137821893,3.4836419153887577,15709.012308691623,0,136256.70676726283,132.83171586425595,TRUE
github-stars,Vue,ETS,2027-02-01,264.4017137821893,2.966941092087518,17755.26812785783,0,164317.12807327544,132.83171586425595,TRUE
github-stars,Vue,ETS,2027-03-01,264.4017137821893,2.521975494046259,19998.591081083778,0,197108.26562325406,132.83171586425595,TRUE
github-stars,Vue,ETS,2027-04-01,264.4017137821893,2.1369063594949504,22453.62937244446,0,235293.0618953864,132.83171586425595,TRUE
github-stars,Vue,ETS,2027-05-01,264.4017137821893,1.8021781122132687,25135.89953237425,0,279612.99099945143,132.83171586425595,TRUE
github-stars,Vue,ETS,2027-06-01,264.4017137821893,1.5100130754665342,28061.829778458767,0,330896.05266169884,132.83171586425595,TRUE
github-stars,Vue,ETS,2027-07-01,264.4017137821893,1.2540322918916789,31248.805041350377,0,390065.4757386758,132.83171586425595,TRUE
github-stars,Vue,ETS,2027-08-01,264.4017137821893,1.0289675070658313,34715.21375562899,0,458149.1869314371,132.83171586425595,TRUE
github-stars,Vue,ETS,2027-09-01,264.4017137821893,0.830439979534209,38480.4965068931,0,536290.1042646396,132.83171586425595,TRUE
github-stars,Vue,PROPHET,2025-10-01,1415.5563197410877,282.8794887446828,6465.201213123616,139.69910768898566,16096.993495652778,3654.9754869222197,FALSE
github-stars,Vue,PROPHET,2025-11-01,1113.1540421769962,228.55617434959132,6383.111580350358,100.48062265319362,12053.450899058113,3654.9754869222197,FALSE
github-stars,Vue,PROPHET,2025-12-01,1033.4346165375036,205.7138976703106,5663.729433750601,89.00447125195248,13171.379968969271,3654.9754869222197,FALSE
github-stars,Vue,PROPHET,2026-01-01,1028.656627892514,195.18425542702752,5497.548442070142,80.54689550158962,11252.09483146985,3654.9754869222197,FALSE
github-stars,Vue,PROPHET,2026-02-01,847.4470512929295,169.72134753713917,4310.71816501155,69.6197490613294,11940.680336678946,3654.9754869222197,FALSE
github-stars,Vue,PROPHET,2026-03-01,885.962612383315,184.797050638233,4318.338443395936,81.84939259175114,9859.147408923454,3654.9754869222197,FALSE
github-stars,Vue,PROPHET,2026-04-01,944.4975938018207,187.56400658110059,4741.43050599338,95.229490238332,9685.140322201982,3654.9754869222197,FALSE
github-stars,Vue,PROPHET,2026-05-01,1254.6640631563625,257.79536911636467,5836.455787374947,115.94216844349398,15059.301109820455,3654.9754869222197,FALSE
github-stars,Vue,PROPHET,2026-06-01,1006.6495046188111,180.19562263407158,5127.639413301106,78.46685944699114,11126.190463484258,3654.9754869222197,FALSE
github-stars,Vue,PROPHET,2026-07-01,804.0217761974809,176.8821093311214,4069.2665830450615,70.59534508430406,9041.743358496684,3654.9754869222197,FALSE
github-stars,Vue,PROPHET,2026-08-01,685.9239978370427,140.26666375113825,3095.928617774787,66.80750558746122,7150.561178298753,3654.9754869222197,FALSE
github-stars,Vue,PROPHET,2026-09-01,814.5361448022405,147.4090391437009,3995.4430169679813,74.82388160339848,10453.905115621006,3654.9754869222197,FALSE
github-stars,Vue,PROPHET,2026-10-01,2771.446100615047,563.8286580261487,14902.438156370055,244.3068182640043,30635.737849667963,3654.9754869222197,FALSE
github-stars,Vue,PROPHET,2026-11-01,1497.9087118899533,274.6954520230131,7158.560067512241,140.3978967685227,17270.351415455138,3654.9754869222197,FALSE
github-stars,Vue,PROPHET,2026-12-01,1132.7938346905344,221.67582215410692,5465.29830636549,89.11096120794797,13723.293939910433,3654.9754869222197,FALSE
github-stars,Vue,PROPHET,2027-01-01,1260.4425158005765,242.64479647314974,6404.146274049249,118.5777425711432,15555.951258123334,3654.9754869222197,FALSE
